question_id,question_text,answer,category,scenario_phase,source_url,source_section
200,List out the IAM users that accessed an AWS service (successfully or unsuccessfully) in Frothly’s AWS environment?,"bstoll,btun,splunk_access,web_admin",aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#200----list-out-the-iam-users-that-accessed-an-aws-service-successfully-or-unsuccessfully-in-frothlys-aws-environment,200----list-out-the-iam-users-that-accessed-an-aws-service-successfully-or-unsuccessfully-in-frothlys-aws-environment
201,What field would you use to alert that AWS API activity have occurred without MFA (multi-factor authentication)?,userIdentity.sessionContext.attributes.mfaAuthenticated,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#201----what-field-would-you-use-to-alert-that-aws-api-activity-have-occurred-without-mfa-multi-factor-authentication,201----what-field-would-you-use-to-alert-that-aws-api-activity-have-occurred-without-mfa-multi-factor-authentication
202,What is the processor number used on the web servers?,E5-2676,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#202----what-is-the-processor-number-used-on-the-web-servers,202----what-is-the-processor-number-used-on-the-web-servers
203,Bud accidentally makes an S3 bucket publicly accessible. What is the event ID of the API call that enabled public access?,ab45689d-69cd-41e7-8705-5350402cf7ac,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#203----bud-accidentally-makes-an-s3-bucket-publicly-accessible-what-is-the-event-id-of-the-api-call-that-enabled-public-access,203----bud-accidentally-makes-an-s3-bucket-publicly-accessible-what-is-the-event-id-of-the-api-call-that-enabled-public-access
204,What is the name of the S3 bucket that was made publicly accessible?,frothlywebcode,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#204----what-is-the-name-of-the-s3-bucket-that-was-made-publicly-accessible,204----what-is-the-name-of-the-s3-bucket-that-was-made-publicly-accessible
205,What is the name of the text file that was successfully uploaded into the S3 bucket while it was publicly accessible?,OPEN_BUCKET_PLEASE_FIX.txt,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#205----what-is-the-name-of-the-text-file-that-was-successfully-uploaded-into-the-s3-bucket-while-it-was-publicly-accessible,205----what-is-the-name-of-the-text-file-that-was-successfully-uploaded-into-the-s3-bucket-while-it-was-publicly-accessible
206,What is the size (in megabytes) of the .tar.gz file that was successfully uploaded into the S3 bucket while it was publicly accessible?,2.93,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#206----what-is-the-size-in-megabytes-of-the-targz-file-that-was-successfully-uploaded-into-the-s3-bucket-while-it-was-publicly-accessible,206----what-is-the-size-in-megabytes-of-the-targz-file-that-was-successfully-uploaded-into-the-s3-bucket-while-it-was-publicly-accessible
208,A Frothly endpoint exhibits signs of coin mining activity. What is the name of the first process to reach 100 percent CPU processor utilization time from this activity on this endpoint?,chrome#5,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#208----a-frothly-endpoint-exhibits-signs-of-coin-mining-activity-what-is-the-name-of-the-first-process-to-reach-100-percent-cpu-processor-utilization-time-from-this-activity-on-this-endpoint,208----a-frothly-endpoint-exhibits-signs-of-coin-mining-activity-what-is-the-name-of-the-first-process-to-reach-100-percent-cpu-processor-utilization-time-from-this-activity-on-this-endpoint
209,"When a Frothly web server EC2 instance is launched via auto scaling, it performs automated configuration tasks after the instance starts. How many packages and dependent packages are installed by the cloud initialization script?",7 (13),network,VPN and network activity,https://www.jamesgibbins.com/botsv3/#209----when-a-frothly-web-server-ec2-instance-is-launched-via-auto-scaling-it-performs-automated-configuration-tasks-after-the-instance-starts-how-many-packages-and-dependent-packages-are-installed-by-the-cloud-initialization-script,209----when-a-frothly-web-server-ec2-instance-is-launched-via-auto-scaling-it-performs-automated-configuration-tasks-after-the-instance-starts-how-many-packages-and-dependent-packages-are-installed-by-the-cloud-initialization-script
210,What is the short hostname of the only Frothly endpoint to actually mine Monero cryptocurrency?,BSTOLL-L,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#210----what-is-the-short-hostname-of-the-only-frothly-endpoint-to-actually-mine-monero-cryptocurrency,210----what-is-the-short-hostname-of-the-only-frothly-endpoint-to-actually-mine-monero-cryptocurrency
