alert_id,outcome,breach_related,expected_verdict,related_question_ids,evidence_filters,notes,false_positive_reason
guardduty:s3-public-access,true_positive_breach,true,True positive. Public S3 exposure is part of the breach path.,"[""203"",""204"",""205"",""206""]","{""rule_terms"":[""frothlywebcode"",""OPEN_BUCKET_PLEASE_FIX.txt""],""rule_match_mode"":""any"",""rule_match_count"":87,""sample_required_terms"":[""frothlywebcode""],""sample_any_terms"":[],""sample_match_count"":87}",S3 bucket exposure and public-window uploads.,
guardduty:iam-compromised-credentials,true_positive_breach,true,True positive. Leaked IAM key activity is part of the breach path.,"[""200"",""201"",""218"",""219"",""220"",""221"",""222"",""223""]","{""rule_terms"":[""AKIAJOGCDXJ5NW5PXUPA"",""web_admin""],""rule_match_mode"":""any"",""rule_match_count"":33,""sample_required_terms"":[""AKIAJOGCDXJ5NW5PXUPA""],""sample_any_terms"":[],""sample_match_count"":1}",Leaked AWS access key and unauthorized IAM/API attempts.,
guardduty:ec2-coinminer-dns,true_positive_breach,true,True positive. Coin-mining DNS/process evidence is part of the compromise.,"[""208"",""210"",""211"",""216""]","{""rule_terms"":[""BSTOLL-L"",""coinhive""],""rule_match_mode"":""any"",""rule_match_count"":15929,""sample_required_terms"":[""BSTOLL-L"",""coinhive""],""sample_any_terms"":[],""sample_match_count"":2}",Cryptocurrency-mining DNS activity.,
guardduty:c2-contact,true_positive_breach,true,True positive. C2 contact is part of the breach path.,"[""322"",""323""]","{""rule_terms"":[""45.77.53.176"",""/admin/get.php""],""rule_match_mode"":""any"",""rule_match_count"":5433,""sample_required_terms"":[""45.77.53.176"",""/admin/get.php""],""sample_any_terms"":[],""sample_match_count"":1}",Endpoint traffic to adversary command-and-control infrastructure.,
wiz_defend:coinminer-runtime,true_positive_breach,true,True positive. Runtime coin-mining behavior is part of the compromise.,"[""208"",""210"",""211"",""212"",""213"",""214"",""216""]","{""rule_terms"":[""BSTOLL-L"",""chrome#5""],""rule_match_mode"":""any"",""rule_match_count"":16272,""sample_required_terms"":[""BSTOLL-L"",""chrome#5""],""sample_any_terms"":[],""sample_match_count"":130}",Runtime process and DNS behavior consistent with coin mining.,
wiz_defend:linux-rce-c2,true_positive_breach,true,True positive. Linux RCE and C2 activity are part of the breach path.,"[""303"",""304"",""305"",""308"",""314"",""315"",""316"",""328"",""333""]","{""rule_terms"":[""hoth"",""45.77.53.176""],""rule_match_mode"":""any"",""rule_match_count"":43097,""sample_required_terms"":[""hoth"",""45.77.53.176""],""sample_any_terms"":[],""sample_match_count"":253}","Remote command execution, tool staging, and C2 from Linux host hoth.",
wiz_vulnerability:linux-cves,true_positive_breach,true,True positive. Vulnerable host context supports the breach investigation.,"[""332"",""333""]","{""rule_terms"":[""hoth"",""colonel.c""],""rule_match_mode"":""any"",""rule_match_count"":37923,""sample_required_terms"":[""hoth"",""colonel.c""],""sample_any_terms"":[],""sample_match_count"":2}",Known Struts and Linux privilege-escalation CVEs tied to hoth.,
wiz_issue:public-s3-exposure,true_positive_breach,true,True positive. Cloud exposure issue is part of the breach path.,"[""203"",""204"",""205"",""206""]","{""rule_terms"":[""frothlywebcode""],""rule_match_mode"":""any"",""rule_match_count"":87,""sample_required_terms"":[""frothlywebcode""],""sample_any_terms"":[],""sample_match_count"":87}",Cloud risk issue for public S3 exposure.,
defender_cloud:linux-history-cleared,true_positive_breach,true,True positive. Anti-forensics follows Linux compromise activity.,"[""328"",""332"",""333""]","{""rule_terms"":[""hoth"","".bash_history""],""rule_match_mode"":""any"",""rule_match_count"":37925,""sample_required_terms"":[""hoth"","".bash_history""],""sample_any_terms"":[],""sample_match_count"":8}",Shell history cleanup on compromised Linux host.,
defender_cloud:linux-suspicious-network,true_positive_breach,true,True positive. Suspicious external network activity is part of the breach path.,"[""305"",""314"",""315"",""322"",""323""]","{""rule_terms"":[""hoth"",""nc 45.77.53.176""],""rule_match_mode"":""any"",""rule_match_count"":37935,""sample_required_terms"":[""hoth"",""nc 45.77.53.176""],""sample_any_terms"":[],""sample_match_count"":1}",Netcat/reverse-shell style network activity.,
sigma:m365-onedrive-lnk-upload,true_positive_breach,true,True positive. Suspicious OneDrive link upload is part of initial access.,"[""300"",""310"",""312""]","{""rule_terms"":[""BRUCE BIRTHDAY HAPPY HOUR PICS.lnk""],""rule_match_mode"":""any"",""rule_match_count"":23,""sample_required_terms"":[""BRUCE BIRTHDAY HAPPY HOUR PICS.lnk""],""sample_any_terms"":[],""sample_match_count"":23}",OneDrive upload of suspicious link file.,
sigma:m365-onedrive-unusual-user-agent,true_positive_breach,true,Low-signal true positive. Needs correlation with file upload and endpoint activity.,"[""300""]","{""rule_terms"":[""OneDrive"",""UserAgent""],""rule_match_mode"":""any"",""rule_match_count"":5804,""sample_required_terms"":[""OneDrive"",""UserAgent""],""sample_any_terms"":[],""sample_match_count"":134}",User-agent anomaly around OneDrive activity.,
sigma:m365-link-file-used,true_positive_breach,true,True positive. Link-file usage is part of the compromise chain.,"[""312"",""323""]","{""rule_terms"":[""BRUCE BIRTHDAY HAPPY HOUR PICS.lnk"",""used""],""rule_match_mode"":""any"",""rule_match_count"":9090,""sample_required_terms"":[""BRUCE BIRTHDAY HAPPY HOUR PICS.lnk"",""used""],""sample_any_terms"":[],""sample_match_count"":10}",Multiple users or IPs used the suspicious link file.,
sigma:m365-inbox-rule-forward-external,true_positive_breach,true,True positive. External BCC forwarding rule is suspicious and breach-related.,"[""319""]","{""rule_terms"":[""bcc"",""hyunki1984@naver.com""],""rule_match_mode"":""any"",""rule_match_count"":3673,""sample_required_terms"":[""bcc"",""hyunki1984@naver.com""],""sample_any_terms"":[],""sample_match_count"":5}",Mailbox forwarding/BCC rule to an external address.,
sigma:m365-sensitive-mail-search,true_positive_breach,true,True positive when correlated with phishing and endpoint activity.,"[""306""]","{""rule_terms"":[""cromdale"",""financial"",""secret""],""rule_match_mode"":""any"",""rule_match_count"":7,""sample_required_terms"":[""cromdale"",""financial"",""secret""],""sample_any_terms"":[],""sample_match_count"":1}",Suspicious search string from external IP context.,
sigma:m365-expired-account-login,true_positive_breach,true,True positive. Successful login to expired account is breach-related.,"[""301""]","{""rule_terms"":[""expired"",""successful""],""rule_match_mode"":""any"",""rule_match_count"":1854,""sample_required_terms"":[""expired"",""successful""],""sample_any_terms"":[],""sample_match_count"":1}",Expired user account successful login.,
sigma:m365-aad-password-reset-burst,true_positive_non_breach,false,Likely administrative noise unless correlated with the attack path.,"[""325""]","{""rule_terms"":[""Kevin Lagerfield"",""password reset""],""rule_match_mode"":""any"",""rule_match_count"":2,""sample_required_terms"":[""Kevin Lagerfield""],""sample_any_terms"":[],""sample_match_count"":2}",Multiple Azure AD password reset/change events.,
sigma:m365-aad-password-reset-burst-repeat-01,true_positive_non_breach,false,Likely administrative repeat noise unless correlated with the attack path.,"[""325""]","{""rule_terms"":[""Kevin Lagerfield"",""password reset""],""rule_match_mode"":""any"",""rule_match_count"":2,""sample_required_terms"":[""Kevin Lagerfield""],""sample_any_terms"":[],""sample_match_count"":2}",Repeated Azure AD password reset/change alert instance.,
sigma:m365-aad-account-disabled,true_positive_non_breach,false,Legitimate-looking account administration unless correlated with compromise.,"[""309""]","{""rule_terms"":[""bgist@froth.ly"",""disabled""],""rule_match_mode"":""any"",""rule_match_count"":7571,""sample_required_terms"":[""bgist@froth.ly"",""disabled""],""sample_any_terms"":[],""sample_match_count"":5}",Azure AD account disabled by another user.,
sigma:m365-aad-account-disabled-repeat-01,true_positive_non_breach,false,Repeated account-administration alert. Treat as noise unless correlated with compromise.,"[""309""]","{""rule_terms"":[""bgist@froth.ly"",""disabled""],""rule_match_mode"":""any"",""rule_match_count"":7571,""sample_required_terms"":[""bgist@froth.ly"",""disabled""],""sample_any_terms"":[],""sample_match_count"":5}",Repeated Azure AD account-disabled alert instance.,
sigma:m365-aad-account-disabled-repeat-02,true_positive_non_breach,false,Repeated account-administration alert. Treat as noise unless correlated with compromise.,"[""309""]","{""rule_terms"":[""bgist@froth.ly"",""disabled""],""rule_match_mode"":""any"",""rule_match_count"":7571,""sample_required_terms"":[""bgist@froth.ly"",""disabled""],""sample_any_terms"":[],""sample_match_count"":5}",Repeated Azure AD account-disabled alert instance.,
sigma:m365-email-malware-artifact,true_positive_breach,true,True positive. Malware email artifact is part of the phishing chain.,"[""302"",""310"",""311""]","{""rule_terms"":[""Frothly-Brewery-Financial-Planning-FY2019-Draft.xlsm"",""HxTsr.exe""],""rule_match_mode"":""any"",""rule_match_count"":403,""sample_required_terms"":[""HxTsr.exe""],""sample_any_terms"":[],""sample_match_count"":403}",Malicious macro-enabled file and embedded executable artifact.,
sigma:m365-log-ingestion-lag,false_positive,false,"False positive for breach. It is an ingestion/telemetry delay question, not attacker behavior.","[""325""]","{""rule_terms"":[""ms:aad:signin"",""lag""],""rule_match_mode"":""any"",""rule_match_count"":10538,""sample_required_terms"":[""ms:aad:signin"",""lag""],""sample_any_terms"":[],""sample_match_count"":3}",Azure AD sign-in index/event creation lag.,Expected cloud log ingestion delay.
sigma:m365-log-ingestion-lag-repeat-01,false_positive,false,"False positive for breach. It is another ingestion/telemetry delay alert, not attacker behavior.","[""325""]","{""rule_terms"":[""ms:aad:signin"",""lag""],""rule_match_mode"":""any"",""rule_match_count"":10538,""sample_required_terms"":[""ms:aad:signin"",""lag""],""sample_any_terms"":[],""sample_match_count"":3}",Repeated Azure AD sign-in index/event creation lag alert instance.,Expected cloud log ingestion delay.
sigma:m365-log-ingestion-lag-repeat-02,false_positive,false,"False positive for breach. It is another ingestion/telemetry delay alert, not attacker behavior.","[""325""]","{""rule_terms"":[""ms:aad:signin"",""lag""],""rule_match_mode"":""any"",""rule_match_count"":10538,""sample_required_terms"":[""ms:aad:signin"",""lag""],""sample_any_terms"":[],""sample_match_count"":3}",Repeated Azure AD sign-in index/event creation lag alert instance.,Expected cloud log ingestion delay.
sigma:vpn-high-traffic-user,false_positive,false,False positive for breach unless correlated with attack infrastructure.,"[""330""]","{""rule_terms"":[""mkraeusen"",""cisco:asa""],""rule_match_mode"":""any"",""rule_match_count"":350,""sample_required_terms"":[""mkraeusen""],""sample_any_terms"":[],""sample_match_count"":344}",High VPN traffic by user.,High volume alone is normal-user noise in this lab.
sigma:vpn-high-traffic-user-repeat-01,false_positive,false,Repeated VPN volume alert. False positive for breach unless correlated with attack infrastructure.,"[""330""]","{""rule_terms"":[""mkraeusen"",""cisco:asa""],""rule_match_mode"":""any"",""rule_match_count"":350,""sample_required_terms"":[""mkraeusen""],""sample_any_terms"":[],""sample_match_count"":344}",Repeated high VPN traffic alert instance.,High volume alone is normal-user noise in this lab.
sigma:vpn-high-traffic-user-repeat-02,false_positive,false,Repeated VPN volume alert. False positive for breach unless correlated with attack infrastructure.,"[""330""]","{""rule_terms"":[""mkraeusen"",""cisco:asa""],""rule_match_mode"":""any"",""rule_match_count"":350,""sample_required_terms"":[""mkraeusen""],""sample_any_terms"":[],""sample_match_count"":344}",Repeated high VPN traffic alert instance.,High volume alone is normal-user noise in this lab.
sigma:web-password-spray,true_positive_non_breach,false,"True activity, but not necessarily part of the main breach path.","[""318""]","{""rule_terms"":[""5.101.40.81""],""rule_match_mode"":""any"",""rule_match_count"":8,""sample_required_terms"":[""5.101.40.81""],""sample_any_terms"":[],""sample_match_count"":8}",Short brute-force/password-spray window against web servers.,
sigma:web-password-spray-repeat-01,true_positive_non_breach,false,"Repeated true activity, but still not clearly part of the main breach path.","[""318""]","{""rule_terms"":[""5.101.40.81""],""rule_match_mode"":""any"",""rule_match_count"":8,""sample_required_terms"":[""5.101.40.81""],""sample_any_terms"":[],""sample_match_count"":8}",Repeated short brute-force/password-spray alert instance.,
sigma:endpoint-hxtsr-from-macro,true_positive_breach,true,True positive. Endpoint process is tied to malicious attachment activity.,"[""302"",""310"",""311""]","{""rule_terms"":[""HxTsr.exe""],""rule_match_mode"":""any"",""rule_match_count"":403,""sample_required_terms"":[""HxTsr.exe""],""sample_any_terms"":[],""sample_match_count"":403}",Suspicious process from macro-enabled file.,
sigma:endpoint-hdoor-network-scan,true_positive_breach,true,True positive. Network scan tool is part of attacker activity.,"[""307"",""317""]","{""rule_terms"":[""hdoor.exe""],""rule_match_mode"":""any"",""rule_match_count"":17,""sample_required_terms"":[""hdoor.exe""],""sample_any_terms"":[],""sample_match_count"":17}",Downloaded executable used to scan Frothly's network.,
sigma:linux-netcat-listener,true_positive_breach,true,True positive. Netcat listener is part of Linux compromise activity.,"[""305"",""314"",""315""]","{""rule_terms"":[""1337"",""netcat""],""rule_match_mode"":""any"",""rule_match_count"":2289,""sample_required_terms"":[""1337"",""netcat""],""sample_any_terms"":[],""sample_match_count"":15}",Netcat listening on unusual port.,
sigma:linux-uid0-user-created,true_positive_breach,true,True positive. Root-equivalent user creation is part of privilege escalation.,"[""303"",""304"",""308""]","{""rule_terms"":[""useradd -ou 0"",""tomcat7""],""rule_match_mode"":""any"",""rule_match_count"":6,""sample_required_terms"":[""useradd -ou 0"",""tomcat7""],""sample_any_terms"":[],""sample_match_count"":2}",Root-equivalent Linux user created after compromise.,
