alert_id,provider,product,alert_type,severity,event_time,resource,status,payload_json
guardduty:s3-public-access,guardduty,Amazon GuardDuty,Policy:S3/BucketAnonymousAccessGranted,medium,2018-08-20 09:08:04,frothlywebcode,active,"{""schemaVersion"":""2.0"",""id"":""guardduty:s3-public-access"",""type"":""Policy:S3/BucketAnonymousAccessGranted"",""severity"":5,""createdAt"":""2018-08-20 09:08:04"",""updatedAt"":""2018-08-20 15:55:00"",""title"":""S3 bucket public access granted"",""description"":""S3 bucket exposure and public-window uploads."",""resource"":{""resourceType"":""S3Bucket"",""s3BucketDetails"":[{""name"":""frothlywebcode""}]},""service"":{""serviceName"":""guardduty"",""action"":{""actionType"":""AWS_API_CALL"",""awsApiCallAction"":{""api"":""PutBucketAcl"",""serviceName"":""s3.amazonaws.com""}},""eventFirstSeen"":""2018-08-20 09:08:04"",""eventLastSeen"":""2018-08-20 15:55:00"",""count"":87},""matched_events"":{""event_count"":87,""rule_match_count"":87,""sample_match_count"":87,""sample_match_scope"":{""required_terms"":[""frothlywebcode""],""any_terms"":[]},""first_seen"":""2018-08-20 09:08:04"",""last_seen"":""2018-08-20 15:55:00"",""samples"":[{""event_ref"":""13102917488977932351"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""13233914309608752991"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""15885633485468606145"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""2737594644376913178"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""3464752570931321258"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]}]}}"
guardduty:iam-compromised-credentials,guardduty,Amazon GuardDuty,AttackSequence:IAM/CompromisedCredentials,high,2018-08-20 09:33:59.137,web_admin,active,"{""schemaVersion"":""2.0"",""id"":""guardduty:iam-compromised-credentials"",""type"":""AttackSequence:IAM/CompromisedCredentials"",""severity"":8,""createdAt"":""2018-08-20 09:33:59.137"",""updatedAt"":""2018-08-20 09:33:59.137"",""title"":""Compromised IAM credentials used"",""description"":""Leaked AWS access key and unauthorized IAM/API attempts."",""resource"":{""resourceType"":""AccessKey"",""accessKeyDetails"":{""userName"":""web_admin""}},""service"":{""serviceName"":""guardduty"",""action"":{""actionType"":""AWS_API_CALL"",""awsApiCallAction"":{""api"":""CreateAccessKey"",""serviceName"":""iam.amazonaws.com""}},""eventFirstSeen"":""2018-08-20 09:33:59.137"",""eventLastSeen"":""2018-08-20 09:33:59.137"",""count"":33},""matched_events"":{""event_count"":1,""rule_match_count"":33,""sample_match_count"":1,""sample_match_scope"":{""required_terms"":[""AKIAJOGCDXJ5NW5PXUPA""],""any_terms"":[]},""first_seen"":""2018-08-20 09:33:59.137"",""last_seen"":""2018-08-20 09:33:59.137"",""samples"":[{""event_ref"":""13550422087788885998"",""event_time"":""2018-08-20 09:33:59.137"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""AKIAJOGCDXJ5NW5PXUPA""]}]}}"
guardduty:ec2-coinminer-dns,guardduty,Amazon GuardDuty,CryptoCurrency:EC2/BitcoinTool.B!DNS,medium,2018-08-20 13:38:38,BSTOLL-L,active,"{""schemaVersion"":""2.0"",""id"":""guardduty:ec2-coinminer-dns"",""type"":""CryptoCurrency:EC2/BitcoinTool.B!DNS"",""severity"":5,""createdAt"":""2018-08-20 13:38:38"",""updatedAt"":""2018-08-20 14:05:21"",""title"":""EC2 DNS request to cryptocurrency mining domain"",""description"":""Cryptocurrency-mining DNS activity."",""resource"":{""resourceType"":""Instance"",""instanceDetails"":{""instanceId"":""BSTOLL-L""}},""service"":{""serviceName"":""guardduty"",""action"":{""actionType"":""DNS_REQUEST"",""dnsRequestAction"":{""domain"":""BSTOLL-L""}},""eventFirstSeen"":""2018-08-20 13:38:38"",""eventLastSeen"":""2018-08-20 14:05:21"",""count"":15929},""matched_events"":{""event_count"":2,""rule_match_count"":15929,""sample_match_count"":2,""sample_match_scope"":{""required_terms"":[""BSTOLL-L"",""coinhive""],""any_terms"":[]},""first_seen"":""2018-08-20 13:38:38"",""last_seen"":""2018-08-20 14:05:21"",""samples"":[{""event_ref"":""4593220498709740488"",""event_time"":""2018-08-20 13:38:38"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""coinhive""]},{""event_ref"":""15103095794619978542"",""event_time"":""2018-08-20 14:05:21"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""coinhive""]}]}}"
guardduty:c2-contact,guardduty,Amazon GuardDuty,Backdoor:EC2/C&CActivity.B!DNS,high,2018-08-20 10:07:03,45.77.53.176,active,"{""schemaVersion"":""2.0"",""id"":""guardduty:c2-contact"",""type"":""Backdoor:EC2/C&CActivity.B!DNS"",""severity"":8,""createdAt"":""2018-08-20 10:07:03"",""updatedAt"":""2018-08-20 10:07:03"",""title"":""EC2 host contacted command-and-control infrastructure"",""description"":""Endpoint traffic to adversary command-and-control infrastructure."",""resource"":{""resourceType"":""Instance"",""instanceDetails"":{""instanceId"":""45.77.53.176""}},""service"":{""serviceName"":""guardduty"",""action"":{""actionType"":""DNS_REQUEST"",""dnsRequestAction"":{""domain"":""45.77.53.176""}},""eventFirstSeen"":""2018-08-20 10:07:03"",""eventLastSeen"":""2018-08-20 10:07:03"",""count"":5433},""matched_events"":{""event_count"":1,""rule_match_count"":5433,""sample_match_count"":1,""sample_match_scope"":{""required_terms"":[""45.77.53.176"",""/admin/get.php""],""any_terms"":[]},""first_seen"":""2018-08-20 10:07:03"",""last_seen"":""2018-08-20 10:07:03"",""samples"":[{""event_ref"":""7576900138906116927"",""event_time"":""2018-08-20 10:07:03"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""45.77.53.176"",""/admin/get.php""]}]}}"
wiz_defend:coinminer-runtime,wiz,Wiz Defend,wiz.defend,high,2018-08-20 05:48:00,BSTOLL-L,active,"{""@timestamp"":""2018-08-20 05:48:00"",""event"":{""kind"":""alert"",""category"":[""threat""],""dataset"":""wiz.defend""},""data_stream"":{""type"":""logs"",""dataset"":""wiz.defend"",""namespace"":""botsv3""},""cloud"":{""provider"":""aws""},""host"":{""name"":""BSTOLL-L""},""wiz"":{""alert"":{""id"":""wiz_defend:coinminer-runtime"",""name"":""Runtime cryptocurrency miner behavior"",""severity"":""high"",""status"":""active""},""issue"":{""type"":""wiz.defend""},""vulnerability"":{""name"":""Runtime cryptocurrency miner behavior"",""cve"":[]}},""matched_events"":{""event_count"":130,""rule_match_count"":16272,""sample_match_count"":130,""sample_match_scope"":{""required_terms"":[""BSTOLL-L"",""chrome#5""],""any_terms"":[]},""first_seen"":""2018-08-20 05:48:00"",""last_seen"":""2018-08-21 01:46:10"",""samples"":[{""event_ref"":""6370873494266521240"",""event_time"":""2018-08-20 05:48:00"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""chrome#5""]},{""event_ref"":""18112620535025842334"",""event_time"":""2018-08-20 06:58:00"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""chrome#5""]},{""event_ref"":""7593805976297068432"",""event_time"":""2018-08-20 10:57:14.415"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""chrome#5""]},{""event_ref"":""7577906736291201527"",""event_time"":""2018-08-20 12:52:34"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""chrome#5""]},{""event_ref"":""11238740988464729252"",""event_time"":""2018-08-20 12:53:19"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""BSTOLL-L"",""chrome#5""]}]}}"
wiz_defend:linux-rce-c2,wiz,Wiz Defend,wiz.defend,critical,2018-08-18 05:20:52.4,hoth,active,"{""@timestamp"":""2018-08-18 05:20:52.4"",""event"":{""kind"":""alert"",""category"":[""threat""],""dataset"":""wiz.defend""},""data_stream"":{""type"":""logs"",""dataset"":""wiz.defend"",""namespace"":""botsv3""},""cloud"":{""provider"":""aws""},""host"":{""name"":""hoth""},""wiz"":{""alert"":{""id"":""wiz_defend:linux-rce-c2"",""name"":""Runtime command execution with external C2"",""severity"":""critical"",""status"":""active""},""issue"":{""type"":""wiz.defend""},""vulnerability"":{""name"":""Runtime command execution with external C2"",""cve"":[]}},""matched_events"":{""event_count"":253,""rule_match_count"":43097,""sample_match_count"":253,""sample_match_scope"":{""required_terms"":[""hoth"",""45.77.53.176""],""any_terms"":[]},""first_seen"":""2018-08-18 05:20:52.4"",""last_seen"":""2018-08-21 00:00:00"",""samples"":[{""event_ref"":""5989642041930752601"",""event_time"":""2018-08-18 05:20:52.4"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""45.77.53.176""]},{""event_ref"":""8380854800037252408"",""event_time"":""2018-08-18 08:18:36.531"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""45.77.53.176""]},{""event_ref"":""2545394874887776280"",""event_time"":""2018-08-18 15:26:00"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""45.77.53.176""]},{""event_ref"":""15592603183750278344"",""event_time"":""2018-08-19 10:26:24.291"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""45.77.53.176""]},{""event_ref"":""10419332482332476561"",""event_time"":""2018-08-19 10:39:52.075"",""_sourcetype"":""journal-4"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534762138_1534758300_302/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""45.77.53.176""]}]}}"
wiz_vulnerability:linux-cves,wiz,Wiz Vulnerability,wiz.vulnerability,critical,2018-08-20 11:13:58,hoth,active,"{""@timestamp"":""2018-08-20 11:13:58"",""event"":{""kind"":""alert"",""category"":[""threat""],""dataset"":""wiz.vulnerability""},""data_stream"":{""type"":""logs"",""dataset"":""wiz.vulnerability"",""namespace"":""botsv3""},""cloud"":{""provider"":""aws""},""host"":{""name"":""hoth""},""wiz"":{""alert"":{""id"":""wiz_vulnerability:linux-cves"",""name"":""Exploitable vulnerability on Linux host"",""severity"":""critical"",""status"":""active""},""issue"":{""type"":""wiz.vulnerability""},""vulnerability"":{""name"":""Exploitable vulnerability on Linux host"",""cve"":[]}},""matched_events"":{""event_count"":2,""rule_match_count"":37923,""sample_match_count"":2,""sample_match_scope"":{""required_terms"":[""hoth"",""colonel.c""],""any_terms"":[]},""first_seen"":""2018-08-20 11:13:58"",""last_seen"":""2018-08-20 11:15:01.09"",""samples"":[{""event_ref"":""9409133114253102764"",""event_time"":""2018-08-20 11:13:58"",""_sourcetype"":""journal"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534766463_1534762020_305/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""colonel.c""]},{""event_ref"":""1653938596544059761"",""event_time"":""2018-08-20 11:15:01.09"",""_sourcetype"":""journal"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534766463_1534762020_305/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""colonel.c""]}]}}"
wiz_issue:public-s3-exposure,wiz,Wiz Issue,wiz.issue,high,2018-08-20 09:08:04,frothlywebcode,active,"{""@timestamp"":""2018-08-20 09:08:04"",""event"":{""kind"":""alert"",""category"":[""threat""],""dataset"":""wiz.issue""},""data_stream"":{""type"":""logs"",""dataset"":""wiz.issue"",""namespace"":""botsv3""},""cloud"":{""provider"":""aws""},""host"":{""name"":""frothlywebcode""},""wiz"":{""alert"":{""id"":""wiz_issue:public-s3-exposure"",""name"":""Public cloud storage exposed"",""severity"":""high"",""status"":""active""},""issue"":{""type"":""wiz.issue""},""vulnerability"":{""name"":""Public cloud storage exposed"",""cve"":[]}},""matched_events"":{""event_count"":87,""rule_match_count"":87,""sample_match_count"":87,""sample_match_scope"":{""required_terms"":[""frothlywebcode""],""any_terms"":[]},""first_seen"":""2018-08-20 09:08:04"",""last_seen"":""2018-08-20 15:55:00"",""samples"":[{""event_ref"":""13102917488977932351"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""13233914309608752991"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""15885633485468606145"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""2737594644376913178"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]},{""event_ref"":""3464752570931321258"",""event_time"":""2018-08-20 09:08:04"",""_sourcetype"":""journal-3"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534758273_1534755600_303/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""frothlywebcode""]}]}}"
defender_cloud:linux-history-cleared,defender_cloud,Microsoft Defender for Cloud,A history file has been cleared,medium,2018-08-20 11:48:17.18,hoth,active,"{""vendor"":""Microsoft"",""product"":""Defender for Cloud"",""alertType"":""A history file has been cleared"",""alertDisplayName"":""Linux history file cleared"",""severity"":""medium"",""timeGenerated"":""2018-08-20 11:48:17.18"",""resourceIdentifiers"":[{""type"":""host"",""name"":""hoth""}],""entities"":[{""type"":""host"",""name"":""vmaemzjb""}],""description"":""Shell history cleanup on compromised Linux host."",""matchedEvents"":{""event_count"":8,""rule_match_count"":37925,""sample_match_count"":8,""sample_match_scope"":{""required_terms"":[""hoth"","".bash_history""],""any_terms"":[]},""first_seen"":""2018-08-20 11:48:17.18"",""last_seen"":""2018-08-20 13:33:54"",""samples"":[{""event_ref"":""3259760122334017964"",""event_time"":""2018-08-20 11:48:17.18"",""_sourcetype"":""journal"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534766463_1534762020_305/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"","".bash_history""]},{""event_ref"":""10652010958227155266"",""event_time"":""2018-08-20 13:30:14.075"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"","".bash_history""]},{""event_ref"":""11615832695559342551"",""event_time"":""2018-08-20 13:30:14.075"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"","".bash_history""]},{""event_ref"":""9933992864128968368"",""event_time"":""2018-08-20 13:30:47"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"","".bash_history""]},{""event_ref"":""795042802881035493"",""event_time"":""2018-08-20 13:32:05"",""_sourcetype"":""journal-7"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534776480_1534769280_306/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"","".bash_history""]}]}}"
defender_cloud:linux-suspicious-network,defender_cloud,Microsoft Defender for Cloud,Detected suspicious network activity,high,2018-08-20 11:13:58,hoth,active,"{""vendor"":""Microsoft"",""product"":""Defender for Cloud"",""alertType"":""Detected suspicious network activity"",""alertDisplayName"":""Suspicious Linux network activity"",""severity"":""high"",""timeGenerated"":""2018-08-20 11:13:58"",""resourceIdentifiers"":[{""type"":""host"",""name"":""hoth""}],""entities"":[{""type"":""host"",""name"":""vmaemzjb""}],""description"":""Netcat/reverse-shell style network activity."",""matchedEvents"":{""event_count"":1,""rule_match_count"":37935,""sample_match_count"":1,""sample_match_scope"":{""required_terms"":[""hoth"",""nc 45.77.53.176""],""any_terms"":[]},""first_seen"":""2018-08-20 11:13:58"",""last_seen"":""2018-08-20 11:13:58"",""samples"":[{""event_ref"":""9409133114253102764"",""event_time"":""2018-08-20 11:13:58"",""_sourcetype"":""journal"",""source"":""botsv3_data_set (1).tgz:./botsv3_data_set/var/lib/splunk/botsv3/db/db_1534766463_1534762020_305/rawdata/journal.gz"",""host"":""vmaemzjb"",""matched_terms"":[""hoth"",""nc 45.77.53.176""]}]}}"
